Nome,Biografia breve,Status di partigiano,Biografia,
Renzi Mario Di Primo Adamo,"Nato a Borghi il 2 dicembre 1912, ivi residente, agricoltore.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 2 settembre al 2 ottobre 1944.,"Appartenente al distaccamento Santarcangelo III° del battaglione di Rimini, il 27 settembre si portò con Raffaele Gnudi e il cugino Guido alla casa del parente Renzi Adamo, dove era giunta la prima pattuglia alleata. Un improvviso attacco tedesco portò alla cattura dei soldati alleati e dei tre giovani italiani che furono addetti al trasporto, sino all'ospedale da campo tedesco di Santa Paola dei soldati alleati feriti. Fu fatto proseguire sino a Carpineta e, dopo alcuni giorni di prigionia, fucilato assieme a Raffaele Gnudi e al cugino Guido alle ore 16,30 del 4 ottobre.",
Ricchi Flavio Di Eugenio,"Nato a Cesena l'8 giugno 1925, ivi residente, meccanico, ultimo di tre figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 giugno al 16 ottobre 1944.,"La sua scheda presso l'anpi reca: Gappista della 29°, moriva in uno scontro con i tedeschi a Montereale il 16 ottobre 1944",
Ricchi Giovanni Di Pio,"Nato a Cesena il 26 luglio 1896, ivi residente, falegname, coniugato e padre di due figli.",,Decedeva in Longiano il 10 ottobre 1944 per azione di guerra.,
Ricchi Werter Di Urbano,"Nato a Cesena il 13 giugno 1912, ivi residente, bracciante, coniugato e padre di quattro figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 gennaio al 4 maggio 1944.,"Operaio dell'Arrigoni, antifascista. Dopo l'8 settembre fu promotore della lotta armata nella zona di Cesena. Svolse azione di collegamento con l'8° brigata per far giungere i prodotti della fabbrica: zucchero e marmellata nonché soldi e uomini. Arrestato il 23 aprile 1944, fu posto a disposizione del segretario del fascio di Cesena che lo fece sottoporre a tortura. Il 4 maggio venne ricoverato all'ospedale di Cesena per ferite alla testa, riportate, secondo un rapporto della g.n.r., nel tentativo di suicidio attuato in carcere, secondo gli antifascisti per le torture inferte al prigioniero.",Decorato di medaglia d'argento al VM.
Ricci Dino Fu Nicola,"Nato a Forlì il 30 settembre 1924, ultimo di quattro figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 7 marzo al 16 aprile 1944.,"Ferito, probabilmente il 3 aprile 1944 nei combattimenti sostenuti per attaccare la caserma di sant'Agata Feltria, venne ricoverato nell'infermeria delle Capanne dove fu ucciso dai tedeschi il 6 aprile 1944.",
Ricci Dino Di Eugenio,"Nato a Cesenatico il 26 marzo 1924, ivi residente, figlio unico, marò, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 3 marzo al 18 agosto 1944.,"Faceva parte di un gruppo di giovani marinai romagnoli che nel luglio del 1944 decise di disertare dal semaforo militare marittimo di Cesenatico - Porto Corsini. Il 18 agosto con i compagni si portò alla casa del colono Pieri, nei pressi di Ponte Ruffio. Tradito da chi li doveva condurre in montagna, quella stessa notte fu catturato dai fascisti di Cesena che lo fucilarono, assieme ai compagni, sul Ponte Ruffio.",
Ricci Egisto Fu Giuseppe,"Nato a Sogliano il 10 giugno 1890, ivi residente, falegname, coniugato e padre di cinque figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 10 novembre 1943 al 20 novembre 1944.,"Antifascista, dopo l'8 settembre la sua casa divenne uno dei punti organizzativi per il trasferimento di uomini e mezzi alla brigata. Staffetta del servizio informazioni, il 22 settembre 1944 fu arrestato dalle S.S tedesche, su delazione dei fascisti locali, portato nelle prigioni del brefotrofio di Forlì e poi tradotto a Bologna dove fu sottoposto a violenti interrogatori, e infine fucilato il 20 ottobre 1944.",
Ridolfi Amedeo Di Primo,"Nato a Cesena l'11 novembre 1919, ivi residente, in frazione San Tommaso, colono, coniugato.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 24 febbraio al 30 settembre 1944.,"Arrestato il 27 settembre assieme al padre Primo, allo zio Augusto, e a Ubaldo Farabegoli, Giuseppe Piraccini, e Armando Vicini perché nei pressi dell'abitazione erano state ritrovate delle armi. Alle ore 24 del 29 settembre venivano uccisi a colpi di mazzetta alla nuca e sepolti in una fossa comune in San Tommaso di Cesena.",
Ridolfi Augusto Fu Enrico,"Nato Cesena il 14 dicembre 1896, ivi residente in frazione San Tommaso, colono, coniugato e padre di tre figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 25 febbraio al 30 settembre 1944.,"Arrestato il 27 settembre assieme al fratello ed al nipote, perché in prossimità dell'abitazione erano state ritrovate delle armi, alle ore 24 del 29 settembre fu ucciso a colpi di mazzetta alla nuca. Il suo corpo fu rinvenuto in una fossa comune assieme a quelli di Amedeo, Primo e di Ubaldo Farabegoli, Giuseppe Piraccini, Armando Vicini a San Tommaso di Cesena.",
Ridolfi Primo Fu Enrico,"Nato a Cesena il 9 giugno 1891, ivi residente in frazione San Tommaso, colono, coniugato e padre quattro figli.",Riconosciuto partigiano della 29 brigata gap con ciclo operativo dal 25 febbraio al 30 settembre 1944.,"Arrestato il 27 settembre perché in prossimità della sua abitazione in San Tommaso di Cesena erano state ritrovate delle armi, alle ore 24 del 29 settembre fu ucciso a colpi di mazzetta alla nuca e sepolto in una fossa comune assieme al fratello, al figlio e ai vicini di casa Ubaldo Farabegoli, Giuseppe Piraccini, Armando Vicini.",
Righi Francesco Di Pietro,Nato a S. Agata Feltria il 29 marzo 1925.,Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 3 marzo al 30 ottobre 1944.,"Deceduto, secondo un documento dell'anpi, in combattimento alla Bugaccia, il 26 settembre 1944.",
Righini Gualtiero Di Gaetano,"Nato a Ravenna il 4 aprile 1924, ivi residente, bracciante, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 2 gennaio al 15 aprile 1944.,Caduto durante il Grande rastrellamento d'aprile. Il 17 aprile 1944 veniva catturato nella Valle dell'Oia. Nella notte venne fucilato al cimitero di Stia assieme ad altri 16 partigiani.,
Rocchi Secondo Fu Giacomo,"Nato a Sogliano il 26 aprile 1901, residente a Sarsina in frazione Turrito, coniugato e padre di sette figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 marzo al 4 settembre 1944.,Ucciso per rappresaglia nella propria abitazione il 4 settembre 1944.,
Romagnoli Oberdan Di Francesco,"Nato a Cesena il 1 giugno 1924, ivi residente in frazione Martorano, fornaio, primo di tre figli",Riconosciuto partigiano dell'8° brigata con ciclo operativo dall'8 marzo al 17 aprile 1944.,"Una dichiarazione conservata presso l'anpi lo dà disperso in seguito al Grande rastrellamento d' aprile, in località monte Falterona, 17 aprile 1944, ""si presume fucilato a Stia"".
Certificato di morte o notizie alla famiglia ",
Romeo Mario Di Raffaele,"Nato a Napoli il 16 maggio 1912, ivi residente.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 novembre 1943 al 26 luglio 1944.,"Il 23 ottobre 1945 il commissario dell'8° brigata Pietro Reali redigeva una dichiarazione sulla sua attività nella brigata, iniziata nel novembre 1943. Dopo il rastrellamento d'aprile si stabilì nella parrocchia di Donicilio e svolse lavoro informativo per la brigata. Nella stessa parrocchia, erano ricoverati anche due ufficiali inglesi. Una spiata lo fece arrestare assieme al parroco don Francesco Babini. Tradotti a Sarsina e poi a Forlì a disposizione delle SS, furono fucilati a Pievequinta il 26 luglio 1944.",
Ronchi Gino,"Nato a Forlì l'8 maggio 1924, coltivatore, quarto di cinque figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 febbraio al 17 aprile 1944.,"Disperso durante il Grande rastrellamento d'aprile il 17 aprile 1944, di lui non si sono avute più notizie.",
Ronchi Pasquale Di Luigi,"Nato a Svignano sul R. il 30 aprile 1925, residente a Longiano, bracciante, secondo di sei figli, celibe.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 15 giugno al 30 ottobre 1944.,"La scheda biografica presso l'anpi stabilisce la data della morte alle ore 13 del 20 ottobre 1944 in Balignano di Longiano ""durante un'azione di pattuglia condotta con intrepido coraggio una mina nemica ne stroncò la sua giovane vita"".",
Rosetti Urbano Di Lorenzo,"Nato a Meldola il 21 febbraio 1923, residente a Civitella di Romagna, colono, secondo di cinque figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 15 febbraio al 27 aprile 1944.,"Caduto nel corso del Grande rastrellamento d'aprile. L'atto di notorietà redatto presso il comune di Civitella di Romagna il 6 marzo 1946 attesta che ""Per non farsi catturare a casa da tedeschi e fascisti dovette partire per la montagna nelle brigate partigiane, verso il dicembre 1943. Nelle montagne di Stia nel famoso rastrellamento dell'aprile 1944 ebbe un combattimento con i fascisti e tedeschi, non si sa quale sia stata la sua sorte, non ha fatto più ritorno in famiglia e si presume che sia morto"".",
Rossi Pia Di Primo,"Nata a Cesena il 19 maggio 1911, ivi residente, operaia, nubile.",Riconosciuta partigiana della 29° brigata gap con ciclo operativo dal 1 aprile al 19 ottobre 1944.,Uccisa da una granata il 19 ottobre 1944.,
Rossi Silvano Di Pasquale,"Nato a Meldola il 9 novembre 1924, ivi residente, meccanico, secondo di quattro fratelli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 18 giugno al 17 luglio 1944.,"Partigiano di una squadra del 5° distaccamento, fu catturato nel corso del rastrellamento del luglio 1944. Sottoposto a violenti interrogatori perché rivelasse quanto sapeva, dopo una parvenza di processo in casa del prete di Cigno, venne fucilato assieme a Castellucci Secondo.",
Rossini Lino Di Carlo,"Nato a Montegrimano il 7 novembre 1917, ivi residente, colono, primo di sei figli, celibe.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 1 giugno al 22 settembre 1944.,"In seguito alla uccisione di un tedesco in località Monti di Montegrimano, il 1 agosto 1944 venne arrestato dai tedeschi, assieme a Betti Guerrino, deportato in Germania e da allora non se ne ebbero più notizie.",
Rubboli Nello Di Pompeo,"Nato a Ravenna il 11 maggio 1924, residente a Forlì, secondogenito, nubile.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 aprile al 17 aprile 1944.,"Scomparso durante il Grande rastrellamento dell'aprile 1944. Il verbale di irreperibilità redatto in data 10 ottobre 1947 reca ""durante il rastrellamento dell'Aprile 1944 scomparve senza alcun indizio e non fu possibile identificarne la salma""",
Rubini Dino Di Marcello,"Nato a Brisighella il 15 giugno 1925, ivi residente.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 febbraio al 15 aprile 1944.,"Disperso durante il Grande rastrellamento d'aprile. Il verbale di irreperibilità emesso in data 10 novembre 1947? Reca"" Durante il rastrellamento di aprile 44 è rimasto disperso in località Vetrighesi (o Vetrignesi di Stia) Arezzo il 15/4/44 e da allora non si sono avute sue notizie e non si è ritrovata la salma.",
Ruscelli Egisto Fu Luigi,"Nato a Verghereto il 10 febbraio 1922, residente a Bagno di Romagna, bracciante, primo di sei figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 gennaio al 16 aprile 1944.,Fucilato il 16 aprile 1944 nel cimitero di Casanova dell'Alpe durante il Grande rastrellamento d'aprile.,
Sabatini Ismaele Fu Abramo,"Nato a Santa Sofia il 7 ottobre 1904, ivi residente, muratore, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dall'8 settembre 1943 all'8 marzo 1944.,"Nel settembre 1943 fu incaricato con altri due muratori Ferrer Francini e Primo Stoppioni di predisporre la base partigiana della valle del Bidente a Valdellachiara. Nel marzo venne incaricato dal comando della brigata di una missione che lo conduceva a Firenze dove fu catturato. Ebreo, venne avviato per la deportazione in Germania. Lungo il viaggio gettò dal treno una tessera che un ignoto fece pervenire alla famiglia il 9 marzo 1944. Morì a Mauthausen il 16 dicembre 1944.",
Sacchetti Sebastiano Di Pompeo,"Nato a Cesenatico il 30 settembre 1912, ivi residente, secondo di quattro figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 febbraio al 4 settembre 1944.,"Il 22 luglio fu tra gli organizzatori dell'affondamento di due barconi nel porto canale di Cesenatico per impedire che i tedeschi li utilizzassero per ostruire il porto di Cesenatico contro l'eventuale sbarco di mezzi alleati. La delazione di un ex partigiano permise ai fascisti di conoscere i nomi degli autori del sabotaggio e della struttura organizzativa delle gap di Cesenatico ed egli venne arrestato dai militi della brigata nera di Cesena, unitamente ai giovani Quadrelli, Cecchini e Trombetti accusati di detenzione di armi. Dopo violenze e torture, la mattina del 3 settembre fu prelevato dalla cella, legato con un robusto canapo ad altri sette e fucilato nello sferisterio della Rocca Malatestiana.",
Salighini Iolanda Di Giuseppe,"Nata a Sarsina l'8 aprile 1929, ivi residente in frazione Pieve di Rivoschio, terza di cinque figli, nubile.",Riconosciuta partigiana dell'8° brigata con ciclo operativo dal 1 gennaio al 6 ottobre 1944.,Deceduta per lo scoppio di una granata il 6 ottobre 1944.,
Salmi Dante Di Raffaele,"Nato a Pianoro (BO) il 17 ottobre 1926, ivi residente, meccanico.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 gennaio al 17 aprile 1944.,"Durante il Grande rastrellamento di aprile, con un gruppo di altri diciassette partigiani, si portò nel versante toscano del Falterona e riparò in una cascina in val d'Oia. Traditi da una guardia forestale, la mattina del 17 aprile 1944 furono catturati e con camion condotti ai comandi tedeschi della zona. La notte furono portati a Stia e fucilati contro il muro del locale cimitero.",
Salvatori Antonio Fu Enrico,"Nato a Rimini il 21 ottobre 1895, ivi residente, commerciante, coniugato e padre di tre figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 2 febbraio al 19 luglio 1944.,Il 19 luglio 1944 ospitò un gruppo di partigiani presso una capanna di sua proprietà in località Dogana di San Marino. Uscito dalla stessa fu ucciso da un gruppo di gnr che avevano seguito i partigiani.,
Sama Fausto Fu Giacomo,"Nato a Cesena il 15 febbraio 1924, ivi residente, manovale, secondo di quattro figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 febbraio al 16 aprile 1944.,Caduto in Cesena il 16 aprile 1944.,
Sami Amedeo Fu Cesare,"Nato a Cesena il 10 gennaio 1895, ivi residente, bracciante, coniugato e padre di quattro figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 gennaio al 13 maggio 1944.,"Una dichiarazione sottoscritta dai partigiani Luciano Rasi e Giovanni Magnani - datata 20 maggio 1946 - attesta che ""pur non apparnendo a nessuna formazione militare partigiana, tuttavia collaborava attivamente con le forze della rsistenza rifornendole di armi e munizioni e interessanti informazioni. Il 13 maggio 1944 mentre si trovava in Cesena per ordine del comandante di distaccamento di Settecrociari, veniva sorpreso da un'incursione aerea per cui perdeva la vita sepolto sotto le macerie""",
Sansovini Albo Di Francesco,"Nato a Forlì il 3 gennaio 1925, ivi residente, secondo di quattro figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 10 settembre 1943 al 30 maggio 1944.,"Catturato a Faenza venne fucilato per rappresaglia, a Bologna, il 26 giugno 1944.",
Santini Armando Di Giuseppe,"Nato a Sarsina il 22 maggio 1918, ivi residente, colono, coniugato.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 20 ottobre 1943 al 30 novembre 1944.,"Arrestato dai tedeschi l'11 giugno 1944, deportato in Germania, deceduto il 19 marzo 1945.",
Sarpieri Augusto Di Alessandro,"Nato a Gatteo il 19 marzo 1924, residente a Longiano, secondo di tre figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 settembre 1943 al 10 ottobre 1944.,"Il 18 luglio 1944, era in compagnia degli amici Attilio Grilli e Tarcisio Paolucci come lui renitenti, quando li raggiunse una raffica di mitra sparata da una pattuglia tedesca che li credeva responsabili del ferimento di una staffetta motorizzata tedesca, avvenuto poco prima nei pressi di Longiano. Attilio Grilli rimaneva ucciso. Assieme a Paolucci venne arrestato e tradotto alle locali carceri. Dopo otto giorni di interrogatori e indagini che dimostrarono la sua estraneità al ferimento, la mattina del 4 agosto 1944 venne improvvisamente prelevato e fucilato nel cimitero di Roncofreddo.",
Sartini Ezio Di Silvio,"Nato a Novafeltria il 30 agosto 1927, residente a Città di Carbonia (CA), primo di quattro figli, celibe.",Riconosciuto partigiano della 8° brigata con ciclo operativo dal 2 maggio al 19 agosto 1944.,Caduto in combattimento a monte Mercurio il 20 agosto 1944 nel corso del rastrellamento d'agosto.,
Sartoni Gino Di Antonio,"Nato a Ravenna l'11 settembre 1925, residente a Forlì, contadino, secondo di tre figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 ottobre al 1 maggio 1944.,"Disperso durante il Grande rastrellamento dell'aprile. Il 10 novembre 1947 venne redatto il verbale di irreperibilità per attestare
""Durante il rastrellamento dell'Aprile 1944 venne disperso e da allora non si sono più avute sue notizie e non si è più ritrovata la salma""",
Sartoni Giulio Di Luigi,"Nato a Palazzuolo il 21 settembre 1924, residente a Modigliana, colono, secondo di tre figli, celibe.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 1 agosto al 15 novembre 1944.,Decedeva il 15 novembre 1944 per scoppio di una mina mentre era in servizio a Modigliana.,
Sasselli Angelo Di Domenico,"Nato a Cesena il 4 aprile 1915, ivi residente, colono, primo di tre figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 maggio al 19 ottobre 1944.,Fucilato dai tedeschi il 19 ottobre 1944 in località Bagnile.,
Satanassi Stefano Fu Giovanni,"Nato a Civitella di Romagna il 26 dicembre 1910, ivi residente.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 12 dicembre 1943 al 18 agosto 1944.,"Disperso durante il rastrellamento d'agosto. Il verbale di irreperibilità redatto il 10 ottobre 1947 attesta che ""fu catturato da reparti nazi fascisti durante un rastrellamento il 18/8/44 e deportato in Germania, si presume sia morto durante un bombardamento. Considerato disperso""",
Saviotti Remigio Di Natale,"Nato a Forlì il 16 febbraio 1924, ivi residente, operaio, secondo di due fratelli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 28 febbraio al 7 aprile 1944.,"Chiamato a servire la repubblica sociale si presentò al distretto. Al momento di partire per raggiungere il reparto, disertò e si portò in montagna. Partigiano della 1° brigata. La mattina del 7 aprile 1944 si trovava a Calanco, vicino a Fragheto. All'approssimarsi dei tedeschi in azione di rastrellamento, assieme ai partigiani di cinque compagnie della 1° brigata prese posizione sul crinale. Ferito durante il combattimento che ne seguì fu ricoverato nel paese di Fragheto, dove trovò la morte quello stesso pomeriggio quando i tedeschi attuarono la rappresaglia contro il piccolo villaggio, con l'incendio di oltre 20 case e l'uccisione di 30 abitanti e di altri due altri partigiani che, feriti erano stati lì ricoverati..",
Scala Antonio Di Giovanni,"Nato a Bagno di Romagna il 20 gennaio 1927, residente a Predappio frazione di Porciantico, colono, secondo di nove figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 15 marzo al 23 agosto.,"Residente a Porciantico, il 17 agosto una ventina di armati, militi e tedeschi, dopo aver circondato l'abitazione, lo trassero in arresto assieme al padre Giovanni e al fratello Francesco. Tradotti a Civitella assieme ad altre trenta persone. Il 23 agosto venne prelevato con altri cinque, tra i quali il padre e il fratello, e fucilato in San Filippo, sulla strada per Collina alla periferia di Civitella.",
Scala Francesco Di Giovanni,"Nato a Bagno di Romagna il 12 marzo 1929, residente a Predappio in frazione Porciantico, colono, terzo di nove figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 15 febbraio al 23 agosto 1944.,"Il 17 agosto una ventina di armati, militi e tedeschi, dopo aver circondato la sua abitazione sita in Porciantico, lo trassero in arresto assieme al padre Giovanni e al fratello Antonio. Tradotti a Civitella assieme ad altre trenta persone. Il 23 agosto venne prelevato con altri cinque, tra i quali il padre e il fratello, e fucilato in San Filippo, sulla strada per Collina alla periferia di Civitella.",
Scala Giovanni Fu Angelo,"Nato a Bagno di Romagna il 26 agosto 1888, residente a Predappio frazione di Porciantico, colono, coniugato e padre di nove figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 gennaio al 23 agosto 1944.,"Il 17 agosto una ventina di armati, militi e tedeschi, dopo aver circondato l'abitazione, lo trassero in arresto assieme ai figli Antonio e Francesco e altri trenta abitanti di Porciantico, padri e parenti di partigiani. Portati a Civitella furono rinchiuse nelle locali carceri. Il 23 agosto venne prelevato coi due figli e fucilato in San Filippo, sulla strada per Collina alla periferia di Civitella.",
Scarpellini Antonio Di Angelo,"Nato a Santarcangelo l'8 marzo 1927, ivi residente, meccanico, quarto di cinque figli, celibe.",Riconosciuto partigiano della brigata sap con ciclo operativo dal 1 marzo al 30 settembre 1944.,"L'atto di notorietà redatto nel comune di Santarcangelo di Romagna in data 15 luglio 1946 attesta che
""il giorno 30 settembre 1944, alle ore 16 pomeridiane, mentre era in servizio quale partigiano, veniva colpito da scheggia provocata dall'esplosione di una granata tedesca che provocava la morte istantanea""",
Scherl Stanislao,Nato il 28 ottobre 1922 a Castello Lupogliano di Pola.,"La mattina del 20 gennaio 1944 fu sorpreso, con il grosso della formazione di Corbari, a Ca Morelli di Tredozio, da truppe tedesche e fasciste operanti su tre colonne. Nel combattimento che ne seguì, tre partigiani rimasero uccisi e venti vennero catturati. Portati al comando delle SSdi Castrocaro furono poi tradotti a Bologna e condannati a morte dal Tribunale Militare Tedesco. Il 5 aprile 1944 venne fucilato con altri sei partigiani della Corbari, al Forte S. Leonardo di Verona per rappresaglia ad un'azione compiuta dai partigiani di Bologna.",. ,
Scotti Francesco Di Giovanni,"Nato a Dovadola il 21 febbraio 1926, ivi residente, ultimo di nove fratelli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 11 febbraio al 1 agosto 1944.,"L'atto di notorietà redatto nella pretura di Rocca San Casciano il 15 maggio 1946 dichiara che egli venne ""ucciso dal segretario del fascio Billi Lorenzo Giovanni l'8 settembre 1944"".",
Seidita Francesco Fu Antonino,"Nato a Palermo il 22 ottobre 1920, ivi residente, quinto di sette figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 2 febbraio al 23 settembre 1944,Caduto a Viserba il 23 settembre 1944.,
Severi Domenico Fu Angiolo,"Nato a Santa Sofia il 31 maggio 1885, ivi residente, colono, coniugato e padre di tre figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 11 giugno al 11 settembre 1944.,"L'atto di notorietà redatto nel comune di Santa Sofia in data 23 aprile 1946 fa conoscere che ""il giorno 11 settembre 1944 in località ""Monte Mozzicone"" della Parrocchia di Spescia del Comune di Santa Sofia, in seguito ad invito di quattro tedeschi veniva portato dalla propria abitazione nel luogo sopraindicato e poscia fucilato"" unitamente a Teodorico Stradaioli perché ""incolpati"" di avere aiutato con viveri e denaro le formazioni partigiane.",
Sintoni Gino Di Primo,"Nato a Cesena il 12 gennaio 1912, ivi residente, colono, quarto di quattro figli, celibe.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 1 gennaio al 3 settembre 1944.,"Gappista della 29°, catturato dai fascisti col fratello Urbano, per la deleazione di un ex appartenente all'organizzazione di Cesenatico, venne fucilato il 3 settembre 1944, nello sferisterio della Rocca Malatestiana di Cesena.",
Sintoni Giulio Di Paolo,"Nato a Russi il 2 aprile 1925, ivi residente, primo di due figli, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 gennaio al 19 aprile 1944.,"Catturato durante il Grande rastrellamento d'aprile fu fucilato a Pian di Mezzano, vicino a Valdoneto.",
Sintoni Urbano Di Primo,"Nato a Cesena il 23 novembre 1907, ivi residente, manovale, primo di quattro figli, celibe. Fratello di Gino.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 gennaio al 4 settembre 1944.,"Gappista della 29°, catturato dai fascisti col fratello Gino, per la deleazione di un ex appartenente all'organizzazione di Cesenatico, venne fucilato il 3 settembre 1944, nello sferisterio della Rocca Malatestiana di Cesena.",
Soldati Pasquale Fu Giacomo,"Nato Sarsina il 19 gennaio 1891, ivi residente in frazione Rivoschio, colono, coniugato e padre di sei figli.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 3 gennaio al 21 agosto 1944.,"Fucilato alla fornace di Meldola nel corso del rastrellamento d'agosto. La mattina del 20 agosto un reparto tedesco lo prelevò a Pieve di Rivoschio assieme ad altri sei suoi concittadini. Costretti a marciare fino alla fornace di Meldola, meta finale dei rastrellatori, furono rinchiusi in un locale assieme ad altri 180 rastrellati. Poi la condanna a morte solo perché residenti a Pieve di Rivoschio e l'obbligo di scavarsi la fossa.",
Soldati Walther Di Giovanni,"Nato a Cesena il 26 giugno 1923, residente a Bologna, studente, celibe.",Riconosciuto partigiano dell'8° brigata con ciclo operativo dal 1 gennaio al 12 aprile 1944.,"Caduto nel corso del Grande rastrellamento d'aprile. Il 10 febbraio 1948, l'ufficio stralcio redigeva verbale di irreperibilità per attestare ""durante un combattimento contro formazioni nazi-fasciste nell'aprile 1944 nei pressi di monte Marino (S.Sofia) scomparve e non fu possibile riconoscere la salma""",
Solfrini Giovanni Fu Giuseppe,"Nato a Cesena il 28 novembre 1912, ivi residente, colono, coniugato e padre di tre figli.",Riconosciuto partigiano della 29° brigata gap con ciclo operativo dal 15 maggio al 19 ottobre 1944.,Fucilato a Bagnile il 19 ottobre 1944.,
Spazzoli Antonio Fu Emidio,"Nato a Ravenna il 2 giugno 1899, residente a Forlì, industriale, coniugato e padre di un figlio. Fratello di Arturo.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 15 settembre 1943 al 19 agosto 1944.,"Antifascista, uomo d'azione, dopo l'8 settembre 1943 fu tra gli organizzatori della Resistenza forlivese. Fu animatore dell'azione per portare oltre le linee numerosi generali inglesi nascostisi nella zona di Santa Sofia. La sua più importante attività fu quella di organizzare un servizio informazioni con radio trasmittenti clandestine collegate con gli alleati. Arrestato una prima volta nel maggio, il 6 agosto fu nuovamente arrestato e tradotto nel carcere di Forlì dove fu sottoposto a terribili torture. Il 18 agosto venne arrestato il fratello Arturo assieme a Corbari, Iris Versari e Casadei. Avuta la prova che gli Spazzoli erano tra i loro più temibili avversari, i fascisti lo prelevarono dal carcere, lo portarono a guardare il corpo del fratello appeso ad un lampione della piazza principale e poi lo condussero sulla strada per Ravenna dove lo fucilarono in località Coccolia.",Medaglia d'oro al VM.
Spazzoli Arturo Fu Emidio,"Nato a Forlì il 15 aprile 1923, ivi residente, studente, celibe. Fratello minore di Antonio.",Riconosciuto partigiano del battaglione Corbari con ciclo operativo dal 10 settembre al 18 agosto 1944.,"Antifascista, dopo l'8 settembre partecipò alle attività organizzate dal fratello Antonio. Nel maggio del 1944 attraversò le linee per portare in salvo alcuni ufficiali inglesi fuggiti dai campi di prigionia e riparati nella zona di Santa Sofia. Rientrato in Romagna, dopo l'arresto del fratello, si aggregò a Corbari per tentare un'azione contro il carcere di Forlì e liberarlo. Due spie che precedentemente avevano fatto parte della formazione, il 18 aosto 1944, condussero i tedeschi a Ca Cornio di Tredozio. Nel combattimento Arturo Spazzoli e Iris Versari rimasero uccisi, Corbari fu gravemente ferito più leggermente Casadei. Corbari e Casadei furono impiccati a Castrocaro. Nel pomeriggio dello stesso giorno i corpi dei quattro partigiani furono riappesi nella piazza Saffi di Forlì.",Medaglia d'oro al VM.
Spinelli Vanzio Fu Giulio,"Nato a Cesena il 17 maggio 1923, ivi residente, secondo di due figli, celibe.",Riconosciuto partigiano del gruppo Mazzini con ciclo operativo dal 20 al 24 giugno 1944.,"Arrestato con Rasi Domenico, veniva processato, condannato a morte e il 24 giugno 1944 fucilato.",
